datetime,value
2018-12-14 15:00:00+01:00,33268.74464319933
2018-12-14 16:00:00+01:00,33026.101583645315
2018-12-14 17:00:00+01:00,33343.15214101216
2018-12-14 18:00:00+01:00,35246.681258166114
2018-12-14 19:00:00+01:00,35702.02664665267
2018-12-14 20:00:00+01:00,35647.396339105515
2018-12-14 21:00:00+01:00,34930.81765012878
2018-12-14 22:00:00+01:00,32665.355597832808
2018-12-14 23:00:00+01:00,30160.03820155828
2018-12-15 00:00:00+01:00,28151.40437970608
2018-12-15 01:00:00+01:00,26282.138168782756
2018-12-15 02:00:00+01:00,24719.396319568816
2018-12-15 03:00:00+01:00,23723.167107086596
2018-12-15 04:00:00+01:00,23430.238538788122
2018-12-15 05:00:00+01:00,23248.10075727579
2018-12-15 06:00:00+01:00,23705.55311119693
2018-12-15 07:00:00+01:00,25147.193913996787
2018-12-15 08:00:00+01:00,26925.32451763398
2018-12-15 09:00:00+01:00,29390.2863034327
2018-12-15 10:00:00+01:00,31267.445633277704
2018-12-15 11:00:00+01:00,31559.64981842333
2018-12-15 12:00:00+01:00,31173.159001187963
2018-12-15 13:00:00+01:00,31125.38533424794
2018-12-15 14:00:00+01:00,30587.924514839666
2018-12-15 15:00:00+01:00,29517.82033162206
2018-12-15 16:00:00+01:00,28839.037227957528
2018-12-15 17:00:00+01:00,29223.084152139178
2018-12-15 18:00:00+01:00,31223.244677843504
2018-12-15 19:00:00+01:00,31734.92018691031
2018-12-15 20:00:00+01:00,32078.62518513472
2018-12-15 21:00:00+01:00,31842.531861338513
2018-12-15 22:00:00+01:00,30293.87766531897
2018-12-15 23:00:00+01:00,28510.68815129716
2018-12-16 00:00:00+01:00,26316.938521886826
2018-12-16 01:00:00+01:00,24295.8935450696
2018-12-16 02:00:00+01:00,22738.36479882606
2018-12-16 03:00:00+01:00,21893.293919741493
2018-12-16 04:00:00+01:00,21503.91271507657
2018-12-16 05:00:00+01:00,21370.62041482635
2018-12-16 06:00:00+01:00,21783.59861017011
2018-12-16 07:00:00+01:00,22725.238935337453
2018-12-16 08:00:00+01:00,23324.49736620328
2018-12-16 09:00:00+01:00,25426.924113727306
2018-12-16 10:00:00+01:00,27755.066391756925
2018-12-16 11:00:00+01:00,28904.608215773904
2018-12-16 12:00:00+01:00,29271.99667854021
2018-12-16 13:00:00+01:00,29783.023920362066
2018-12-16 14:00:00+01:00,29560.33769920063
2018-12-16 15:00:00+01:00,28304.44372467277
2018-12-16 16:00:00+01:00,27392.304546101444
2018-12-16 17:00:00+01:00,27392.787315084417
